Municipios;Edad (grupos quinquenales);Sexo;Periodo;Total
43006 Aldover;Todas las edades;Total;1 de enero de 2022;862
30006 Aledo;Todas las edades;Total;1 de enero de 2022;1.110
20005 Alegia;Todas las edades;Total;1 de enero de 2022;1.740
01001 Alegría-Dulantzi;Todas las edades;Total;1 de enero de 2022;2.960
43007 Aleixar, L';Todas las edades;Total;1 de enero de 2022;924
08003 Alella;Todas las edades;Total;1 de enero de 2022;10.079
42015 Alentisque;Todas las edades;Total;1 de enero de 2022;26
22019 Alerre;Todas las edades;Total;1 de enero de 2022;213
26009 Alesanco;Todas las edades;Total;1 de enero de 2022;481
26010 Alesón;Todas las edades;Total;1 de enero de 2022;90
18011 Alfacar;Todas las edades;Total;1 de enero de 2022;5.585
46022 Alfafar;Todas las edades;Total;1 de enero de 2022;21.480
03010 Alfafara;Todas las edades;Total;1 de enero de 2022;417
50017 Alfajarín;Todas las edades;Total;1 de enero de 2022;2.434
44016 Alfambra;Todas las edades;Total;1 de enero de 2022;490
50018 Alfamén;Todas las edades;Total;1 de enero de 2022;1.477
22020 Alfántega;Todas las edades;Total;1 de enero de 2022;124
43008 Alfara de Carles;Todas las edades;Total;1 de enero de 2022;359
46024 Alfara de la Baronia;Todas las edades;Total;1 de enero de 2022;606
46025 Alfara del Patriarca;Todas las edades;Total;1 de enero de 2022;3.315
49005 Alfaraz de Sayago;Todas las edades;Total;1 de enero de 2022;127
29003 Alfarnate;Todas las edades;Total;1 de enero de 2022;1.039
29004 Alfarnatejo;Todas las edades;Total;1 de enero de 2022;364
26011 Alfaro;Todas las edades;Total;1 de enero de 2022;9.727
46026 Alfarp;Todas las edades;Total;1 de enero de 2022;1.596
25013 Alfarràs;Todas las edades;Total;1 de enero de 2022;2.795
46027 Alfarrasí;Todas las edades;Total;1 de enero de 2022;1.217
03011 Alfàs del Pi, l';Todas las edades;Total;1 de enero de 2022;20.668
46023 Alfauir;Todas las edades;Total;1 de enero de 2022;479
25014 Alfés;Todas las edades;Total;1 de enero de 2022;300
12007 Alfondeguilla;Todas las edades;Total;1 de enero de 2022;877
43009 Alforja;Todas las edades;Total;1 de enero de 2022;1.928
50019 Alforque;Todas las edades;Total;1 de enero de 2022;64
27002 Alfoz;Todas las edades;Total;1 de enero de 2022;1.585
09011 Alfoz de Bricia;Todas las edades;Total;1 de enero de 2022;76
39001 Alfoz de Lloredo;Todas las edades;Total;1 de enero de 2022;2.466
09907 Alfoz de Quintanadueñas;Todas las edades;Total;1 de enero de 2022;2.201
09012 Alfoz de Santa Gadea;Todas las edades;Total;1 de enero de 2022;103
41007 Algaba, La;Todas las edades;Total;1 de enero de 2022;16.491
24002 Algadefe;Todas las edades;Total;1 de enero de 2022;285
07004 Algaida;Todas las edades;Total;1 de enero de 2022;6.075
41008 Algámitas;Todas las edades;Total;1 de enero de 2022;1.252
11003 Algar;Todas las edades;Total;1 de enero de 2022;1.433
19016 Algar de Mesa;Todas las edades;Total;1 de enero de 2022;48
46028 Algar de Palancia;Todas las edades;Total;1 de enero de 2022;498
18012 Algarinejo;Todas las edades;Total;1 de enero de 2022;2.436
16013 Algarra;Todas las edades;Total;1 de enero de 2022;22
29005 Algarrobo;Todas las edades;Total;1 de enero de 2022;6.625
29006 Algatocín;Todas las edades;Total;1 de enero de 2022;826
11004 Algeciras;Todas las edades;Total;1 de enero de 2022;122.368
46029 Algemesí;Todas las edades;Total;1 de enero de 2022;27.305
25015 Algerri;Todas las edades;Total;1 de enero de 2022;422
28009 Algete;Todas las edades;Total;1 de enero de 2022;20.767
46030 Algímia d'Alfara;Todas las edades;Total;1 de enero de 2022;1.106
12008 Algimia de Almonacid;Todas las edades;Total;1 de enero de 2022;247
46031 Alginet;Todas las edades;Total;1 de enero de 2022;14.219
11005 Algodonales;Todas las edades;Total;1 de enero de 2022;5.504
49006 Algodre;Todas las edades;Total;1 de enero de 2022;135
